ma_tram,thoi_gian,so_lieu,myNewField
552600,2025-11-17 14:10:00,22.6,1
552600,2025-11-17 14:20:00,22.66,1
552600,2025-11-17 14:30:00,22.68,1
552600,2025-11-17 14:40:00,22.71,1
552600,2025-11-17 14:50:00,22.74,1
552600,2025-11-17 15:00:00,22.78,1
552600,2025-11-17 15:10:00,22.82,1
552600,2025-11-17 15:20:00,22.89,1
552600,2025-11-17 15:40:00,23.07,1
552600,2025-11-17 15:50:00,23.14,1
552600,2025-11-17 16:00:00,23.24,1
552600,2025-11-17 16:10:00,23.32,1
552700,2025-11-17 12:30:00,3.53,1
552700,2025-11-17 12:40:00,3.54,1
552700,2025-11-17 12:50:00,3.55,1
552700,2025-11-17 13:00:00,3.57,1
552700,2025-11-17 13:10:00,3.57,1
552700,2025-11-17 13:20:00,3.58,1
552700,2025-11-17 13:30:00,3.6,1
552700,2025-11-17 13:40:00,3.6,1
552700,2025-11-17 13:50:00,3.61,1
552700,2025-11-17 14:00:00,3.62,1
552700,2025-11-17 14:10:00,3.63,1
552700,2025-11-17 14:20:00,3.64,1
552700,2025-11-17 14:30:00,3.65,1
552700,2025-11-17 14:40:00,3.66,1
552700,2025-11-17 14:50:00,3.68,1
552700,2025-11-17 15:00:00,3.68,1
552700,2025-11-17 15:10:00,3.69,1
552700,2025-11-17 15:20:00,3.7,1
552700,2025-11-17 15:30:00,3.71,1
552700,2025-11-17 15:40:00,3.72,1
552700,2025-11-17 15:50:00,3.73,1
552700,2025-11-17 16:00:00,3.74,1
552700,2025-11-17 16:10:00,3.75,1
553000,2025-11-17 12:30:00,21.13,1
553000,2025-11-17 12:40:00,21.15,1
553000,2025-11-17 12:50:00,21.16,1
553000,2025-11-17 13:00:00,21.17,1
553000,2025-11-17 13:10:00,21.18,1
553000,2025-11-17 13:20:00,21.18,1
553000,2025-11-17 13:30:00,21.19,1
553000,2025-11-17 13:40:00,21.19,1
553000,2025-11-17 13:50:00,21.19,1
553000,2025-11-17 14:00:00,21.17,1
553000,2025-11-17 14:10:00,21.16,1
553000,2025-11-17 14:20:00,21.13,1
553000,2025-11-17 14:30:00,21.07,1
553000,2025-11-17 14:40:00,21.04,1
553000,2025-11-17 15:00:00,20.96,1
553000,2025-11-17 15:10:00,20.9,1
553000,2025-11-17 15:20:00,20.84,1
553000,2025-11-17 15:30:00,20.81,1
553000,2025-11-17 15:40:00,20.76,1
553000,2025-11-17 15:50:00,20.71,1
553000,2025-11-17 16:00:00,20.67,1
553000,2025-11-17 16:10:00,20.61,1
553000,2025-11-17 16:20:00,20.55,1
553100,2025-11-17 12:30:00,15.61,1
553100,2025-11-17 12:40:00,15.6,1
553100,2025-11-17 12:50:00,15.59,1
553100,2025-11-17 13:00:00,15.58,1
553100,2025-11-17 13:10:00,15.58,1
553100,2025-11-17 13:20:00,15.58,1
553100,2025-11-17 13:30:00,15.58,1
553100,2025-11-17 13:40:00,15.57,1
553100,2025-11-17 13:50:00,15.56,1
553100,2025-11-17 14:00:00,15.55,1
553100,2025-11-17 14:10:00,15.54,1
553100,2025-11-17 14:20:00,15.52,1
553100,2025-11-17 14:30:00,15.5,1
553100,2025-11-17 14:40:00,15.48,1
553100,2025-11-17 14:50:00,15.45,1
553100,2025-11-17 15:00:00,15.43,1
553100,2025-11-17 15:10:00,15.4,1
553100,2025-11-17 15:20:00,15.38,1
553100,2025-11-17 15:30:00,15.36,1
553100,2025-11-17 15:40:00,15.34,1
553100,2025-11-17 15:50:00,15.32,1
553100,2025-11-17 16:00:00,15.3,1
553100,2025-11-17 16:10:00,15.27,1
553100,2025-11-17 16:20:00,15.25,1
553200,2025-11-17 12:30:00,7.76,1
553200,2025-11-17 12:40:00,7.75,1
553200,2025-11-17 12:50:00,7.75,1
553200,2025-11-17 13:00:00,7.77,1
553200,2025-11-17 13:10:00,7.78,1
553200,2025-11-17 13:20:00,7.79,1
553200,2025-11-17 13:30:00,7.8,1
553200,2025-11-17 13:40:00,7.8,1
553200,2025-11-17 13:50:00,7.81,1
553200,2025-11-17 14:00:00,7.83,1
553200,2025-11-17 14:10:00,7.84,1
553200,2025-11-17 14:20:00,7.83,1
553200,2025-11-17 14:30:00,7.84,1
553200,2025-11-17 14:40:00,7.85,1
553200,2025-11-17 14:50:00,7.85,1
553200,2025-11-17 15:00:00,7.85,1
553200,2025-11-17 15:10:00,7.86,1
553200,2025-11-17 15:20:00,7.87,1
553200,2025-11-17 15:30:00,7.89,1
553200,2025-11-17 15:40:00,7.88,1
553200,2025-11-17 15:50:00,7.9,1
553200,2025-11-17 16:00:00,7.9,1
553200,2025-11-17 16:10:00,7.9,1
553200,2025-11-17 16:20:00,7.9,1
553300,2025-11-17 12:30:00,9.22,1
553300,2025-11-17 12:40:00,9.22,1
553300,2025-11-17 12:50:00,9.22,1
553300,2025-11-17 13:00:00,9.21,1
553300,2025-11-17 13:10:00,9.21,1
553300,2025-11-17 13:20:00,9.19,1
553300,2025-11-17 13:30:00,9.2,1
553300,2025-11-17 13:40:00,9.17,1
553300,2025-11-17 13:50:00,9.22,1
553300,2025-11-17 14:00:00,9.18,1
553300,2025-11-17 14:10:00,9.2,1
553300,2025-11-17 14:20:00,9.21,1
553300,2025-11-17 14:30:00,9.18,1
553300,2025-11-17 14:40:00,9.19,1
553300,2025-11-17 14:50:00,9.2,1
553300,2025-11-17 15:00:00,9.19,1
553300,2025-11-17 15:10:00,9.16,1
553300,2025-11-17 15:20:00,9.18,1
553300,2025-11-17 15:30:00,9.19,1
553300,2025-11-17 15:40:00,9.17,1
553300,2025-11-17 15:50:00,9.17,1
553300,2025-11-17 16:00:00,9.18,1
553300,2025-11-17 16:10:00,9.18,1
553300,2025-11-17 16:20:00,9.18,1